t,x,y,yaw
0.0,-0.0228,-0.0203,0.001
4.68,-0.0019,-0.0231,0.0021
4.94,0.2279,0.0117,-0.001
9.6,0.2835,0.015,-0.0066
9.64,0.338,0.0131,-0.031
9.68,0.4428,0.0062,-0.129
9.74,0.3999,0.0051,-0.1365
9.84,0.3039,0.0067,-0.0857
9.91,0.2412,0.01,-0.0927
9.94,0.2828,0.0062,-0.0745
10.04,0.3061,0.0062,-0.0735
10.18,0.3504,-0.0008,-0.1148
10.24,0.4011,-0.0077,-0.2141
10.28,0.4318,-0.0204,-0.2998
10.4,0.3982,-0.0135,-0.2971
10.6,0.4311,-0.0275,-0.221
10.7,0.4948,-0.0449,-0.3056
10.8,0.4498,-0.0375,-0.3099
11.28,0.4877,-0.0468,-0.2745
11.34,0.5275,-0.0546,-0.2745
11.38,0.5563,-0.065,-0.275
11.44,0.5963,-0.0703,-0.253
11.48,0.658,-0.0748,-0.2323
11.58,0.6805,-0.0874,-0.2441
11.6,0.7012,-0.0875,-0.2431
11.68,0.7283,-0.1034,-0.259
11.78,0.7745,-0.1205,-0.2689
11.8,0.7944,-0.1241,-0.2666
11.88,0.8226,-0.1303,-0.263
11.98,0.8719,-0.1475,-0.2679
12.08,0.9163,-0.1562,-0.2655
12.1,0.9395,-0.1608,-0.265
12.18,0.9686,-0.1733,-0.2681
12.28,1.0124,-0.1819,-0.2339
12.3,1.0329,-0.181,-0.2124
12.38,1.0631,-0.1771,-0.0648
12.4,1.0808,-0.165,-0.0252
12.48,1.109,-0.1627,0.0781
12.5,1.1303,-0.1479,0.1177
12.58,1.1589,-0.15,0.1589
12.6,1.1757,-0.1388,0.1842
12.7,1.1477,-0.1542,0.1283
12.98,1.1334,-0.1692,0.0746
13.58,1.1608,-0.1591,0.0707
13.6,1.2044,-0.1536,0.087
13.7,1.2814,-0.1278,0.1968
13.8,1.2391,-0.1423,0.1662
14.28,1.2727,-0.1435,0.0641
14.34,1.3168,-0.1423,0.0337
14.44,1.2776,-0.1429,0.0667
15.08,1.3337,-0.1419,0.0704
15.14,1.3848,-0.1394,0.0699
15.18,1.4252,-0.135,0.0717
15.28,1.4765,-0.1312,0.0717
15.38,1.5236,-0.13,0.0668
15.48,1.5738,-0.1254,0.0683
15.58,1.6221,-0.1202,0.0684
15.68,1.6733,-0.1187,0.067
15.78,1.7221,-0.1239,-0.0112
15.88,1.772,-0.1329,-0.0908
15.98,1.8209,-0.1347,-0.0377
16.08,1.8711,-0.1348,-0.0182
16.18,1.9234,-0.136,-0.0182
16.28,1.9681,-0.132,-0.0162
16.38,2.0219,-0.1365,-0.0176
16.48,2.0733,-0.1362,-0.0173
16.58,2.1202,-0.1371,-0.0178
16.68,2.1706,-0.1351,-0.0175
16.78,2.2044,-0.1366,-0.0174
16.8,2.1715,-0.1358,-0.0184
16.88,2.0281,-0.1298,-0.0183
16.94,2.0824,-0.1329,-0.02
16.98,2.1038,-0.1341,-0.0205
17.2,2.129,-0.132,-0.0119
17.3,2.2015,-0.1255,0.0598
17.5,2.2383,-0.1145,0.1345
17.7,2.305,-0.0854,0.2405
17.8,2.3649,-0.0586,0.4267
17.9,2.3961,-0.0022,0.5634
18.0,2.4427,0.0136,0.6484
18.1,2.4653,0.0618,0.7486
18.2,2.4987,0.0894,0.8411
18.3,2.5251,0.158,0.9434
18.4,2.5517,0.195,1.0409
18.5,2.5612,0.2455,1.143
18.6,2.577,0.2887,1.2421
18.7,2.578,0.341,1.342
18.8,2.5836,0.3872,1.4421
18.88,2.5819,0.4159,1.503
18.98,2.5753,0.4654,1.6012
19.08,2.5633,0.5158,1.6981
19.18,2.5473,0.5627,1.7937
19.28,2.5247,0.6082,1.895
19.38,2.4999,0.65,1.9933
19.48,2.4697,0.6872,1.9781
19.54,2.4779,0.7094,1.8503
19.58,2.4868,0.7568,1.793
19.68,2.4692,0.7921,1.6066
19.74,2.5011,0.8078,1.5748
19.78,2.533,0.8525,1.5079
19.84,2.5137,0.8616,1.5689
19.88,2.4989,0.8991,1.5532
19.98,2.5093,0.9524,1.5977
20.08,2.5105,1.0022,1.4702
20.18,2.5299,1.0447,1.337
20.28,2.5386,1.096,1.3876
20.3,2.5434,1.1185,1.3867
20.38,2.5413,1.1486,1.4399
20.5,2.5501,1.2168,1.4423
20.6,2.5526,1.262,1.4442
20.7,2.5525,1.3124,1.5224
20.8,2.5114,1.3678,1.7015
20.84,2.5228,1.3509,1.7033
20.9,2.513,1.4072,1.7598
21.0,2.5119,1.4632,1.6713
21.1,2.5148,1.5105,1.6369
21.2,2.5178,1.5594,1.6368
21.3,2.5113,1.6112,1.6362
21.4,2.5242,1.6591,1.5665
21.5,2.5325,1.7087,1.4549
21.6,2.542,1.7628,1.5052
21.7,2.5314,1.81,1.5403
21.8,2.5312,1.8557,1.5406
21.9,2.5328,1.9059,1.5406
22.0,2.5327,1.9575,1.5405
22.1,2.5376,2.0097,1.5405
22.2,2.5383,2.0616,1.5407
22.28,2.5395,2.0857,1.5404
22.38,2.5438,2.144,1.5438
22.48,2.5462,2.1926,1.5428
22.58,2.5535,2.2423,1.5456
22.68,2.5565,2.292,1.5442
22.78,2.5601,2.3433,1.5434
22.88,2.5604,2.392,1.5429
22.98,2.5638,2.4382,1.5429
23.08,2.5615,2.4981,1.5428
23.18,2.5667,2.5463,1.546
23.28,2.5643,2.5887,1.5447
23.38,2.5693,2.6451,1.5441
23.48,2.5714,2.697,1.5436
23.58,2.5723,2.7468,1.5435
23.6,2.5719,2.7685,1.5435
23.68,2.5736,2.7985,1.5434
23.8,2.576,2.8666,1.5431
23.9,2.5767,2.9124,1.5429
24.0,2.5789,2.9638,1.5428
