t,x,y,yaw
0.0,-0.01,-0.0185,0.0004
2.52,0.0098,-0.1145,0.0636
2.56,0.0394,-0.0629,0.092
2.62,0.0041,-0.0482,0.1025
2.76,0.0223,-0.0286,0.0611
2.9,0.0413,-0.0679,0.119
2.96,0.0886,-0.0719,0.2118
3.0,0.115,-0.0871,0.1623
3.2,0.1254,-0.1126,0.2824
3.26,0.1754,-0.1171,0.32
3.3,0.2242,-0.0984,0.3364
3.32,0.1905,-0.1018,0.3421
3.4,0.0529,-0.0986,0.2683
3.5,0.138,-0.0948,0.2475
3.8,0.1395,-0.0614,0.2447
3.9,0.1479,-0.0835,0.2584
4.0,0.2168,-0.143,0.2344
4.02,0.2356,-0.1854,0.2315
4.1,0.2657,-0.1543,0.1236
4.12,0.2577,-0.2023,0.112
4.2,0.3162,-0.1955,0.1001
4.22,0.3134,-0.2405,0.0908
4.3,0.371,-0.2169,0.1352
4.32,0.3681,-0.2549,0.1279
4.4,0.4228,-0.2517,0.1553
4.42,0.4233,-0.2866,0.1396
4.5,0.4707,-0.2786,0.0521
4.52,0.4683,-0.3182,0.0179
4.6,0.518,-0.3123,-0.0117
4.62,0.5153,-0.3445,-0.024
4.7,0.5677,-0.3281,0.0692
4.74,0.5756,-0.3494,0.0884
4.8,0.6333,-0.3341,0.136
4.82,0.6418,-0.3548,0.111
4.9,0.6413,-0.3937,0.0628
5.0,0.7239,-0.3888,-0.0119
5.02,0.7249,-0.414,-0.071
5.1,0.7147,-0.4556,-0.1373
5.2,0.8099,-0.4513,-0.0237
5.3,0.8312,-0.4823,-0.0295
5.36,1.0874,-0.3072,-0.0726
5.42,1.1386,-0.3499,-0.1776
5.52,1.1407,-0.3872,-0.2418
5.56,1.1705,-0.3644,-0.1263
5.62,1.2224,-0.3989,-0.1477
5.66,1.2355,-0.3836,-0.1001
5.72,1.2724,-0.4258,-0.1164
5.8,1.3178,-0.4429,-0.115
5.9,1.3704,-0.4658,-0.1119
6.0,1.4176,-0.486,-0.1146
6.1,1.4676,-0.5068,-0.1101
6.16,1.4894,-0.4996,-0.0981
6.22,1.4478,-0.4793,-0.1266
6.42,1.4601,-0.4606,-0.1456
6.6,1.4558,-0.4828,-0.1011
6.62,1.4942,-0.4932,-0.0931
6.7,1.6049,-0.4946,-0.079
6.72,1.5711,-0.4835,-0.0772
6.8,1.5293,-0.4794,-0.0966
6.92,1.5124,-0.4635,-0.1052
7.0,1.5472,-0.4817,-0.0543
7.02,1.5949,-0.4901,-0.0338
7.1,1.6314,-0.488,0.1044
7.12,1.6621,-0.4919,0.1417
7.22,1.6201,-0.4724,0.1842
7.52,1.6053,-0.456,0.0596
7.6,1.6447,-0.4754,0.0745
7.62,1.7025,-0.4889,0.0754
7.7,1.7345,-0.4835,0.0617
7.72,1.755,-0.5,0.061
7.8,1.7886,-0.4925,0.0466
7.82,1.8073,-0.5097,0.046
7.9,1.8383,-0.4996,0.0466
7.92,1.8517,-0.5157,0.0454
8.0,1.884,-0.5032,0.0506
8.04,1.9034,-0.5109,0.0538
8.1,1.9355,-0.4971,0.0622
8.12,1.9521,-0.5093,0.055
8.24,1.8998,-0.5112,0.0441
8.4,1.909,-0.4671,0.0848
8.42,1.96,-0.4732,0.1006
8.5,2.0041,-0.477,0.2521
8.52,2.0326,-0.4715,0.2934
8.6,2.0989,-0.4402,0.414
8.72,2.1471,-0.4165,0.5568
8.82,2.1903,-0.3824,0.6555
8.92,2.2296,-0.3466,0.7546
9.02,2.2588,-0.309,0.8552
9.1,2.2832,-0.2748,0.9177
9.12,2.2991,-0.2597,0.9582
9.2,2.3139,-0.2269,1.0208
9.3,2.3323,-0.181,1.1201
9.32,2.3461,-0.1623,1.1606
9.4,2.3472,-0.1319,1.2198
9.52,2.3618,-0.0659,1.3612
9.6,2.3531,0.8905,1.6326
9.62,2.3558,0.911,1.673
9.7,2.3396,0.9425,1.7322
9.82,2.3234,1.0074,1.8677
9.92,2.2984,1.0583,1.9524
10.02,2.2914,1.1097,1.9215
10.06,2.2737,1.0995,1.8398
10.12,2.2771,1.1596,1.8388
10.24,2.2752,1.2004,1.8215
10.32,2.2652,1.2515,1.8456
10.36,2.2392,1.2401,1.8999
10.42,2.2277,1.3025,1.9729
10.46,2.2089,1.2897,1.9746
10.52,2.2114,1.3455,1.9908
10.56,2.1943,1.335,1.9313
10.62,2.1991,1.3999,1.9309
10.66,2.1786,1.3881,1.9252
10.72,2.18,1.4439,1.9216
10.76,2.1609,1.4319,1.9244
10.82,2.1658,1.495,1.9218
10.86,2.1432,1.4823,1.9245
10.92,2.1474,1.542,1.9208
10.96,2.1269,1.5292,1.9241
11.02,2.1311,1.5904,1.9208
11.06,2.1096,1.5771,1.9239
11.12,2.1128,1.6349,1.92
11.16,2.0928,1.6218,1.9232
11.22,2.0993,1.6783,1.8956
11.26,2.0796,1.6663,1.8451
11.32,2.0981,1.7235,1.7691
11.36,2.0781,1.7129,1.7756
11.42,2.0891,1.7737,1.7524
11.52,2.0768,1.8153,1.8091
11.56,2.053,1.8063,1.8238
11.62,2.057,1.8697,1.8207
11.66,2.0396,1.8555,1.8239
11.72,2.0459,1.9118,1.8195
11.76,2.0259,1.904,1.8238
11.82,2.032,1.9687,1.8205
11.86,2.0118,1.9514,1.8215
11.92,2.0189,2.0083,1.8169
11.96,1.9978,2.0004,1.8222
12.02,2.0054,2.0561,1.7947
12.12,2.0105,2.1019,1.6791
12.16,1.989,2.0926,1.6917
12.2,1.9993,2.134,1.6766
12.26,1.983,2.1462,1.7333
12.3,1.988,2.1846,1.7283
12.4,1.9806,2.2325,1.7355
12.42,1.9818,2.2526,1.7355
12.5,1.9703,2.2826,1.7347
12.6,1.9644,2.3336,1.7367
12.7,1.9508,2.3784,1.7325
12.8,1.9429,2.4288,1.7331
12.9,1.9325,2.4782,1.7335
13.0,1.9269,2.5281,1.7361
13.1,1.9158,2.5708,1.7323
13.12,1.9188,2.5907,1.7316
13.2,1.9082,2.6274,1.7346
13.3,1.8956,2.6721,1.7316
13.4,1.8887,2.7238,1.734
13.5,1.8784,2.7647,1.7311
13.52,1.8803,2.7861,1.7304
13.6,2.4022,2.6089,1.5341
13.7,2.4045,2.6577,1.5355
13.8,2.4105,2.7107,1.5385
13.9,2.41,2.7595,1.5361
14.0,2.4124,2.8104,1.5369
14.1,2.4146,2.8616,1.5376
14.2,2.4161,2.9119,1.5374
14.32,2.4206,2.9793,1.5359
14.4,2.4193,3.0129,1.5388
14.52,2.4226,3.0786,1.5362
14.6,2.4178,3.1105,1.5371
14.72,2.4299,3.1809,1.5401
14.8,2.4222,3.2082,1.535
14.9,2.422,3.2604,1.5365
15.0,2.4203,3.3064,1.5349
15.02,2.4271,3.3253,1.5344
15.1,2.4227,3.3612,1.5361
15.2,2.4265,3.4063,1.5362
15.32,2.4342,3.4774,1.535
15.42,2.4366,3.5291,1.5373
15.5,2.4315,3.5633,1.5361
15.6,2.4276,3.6134,1.592
15.7,2.415,3.6649,1.6955
15.8,2.4112,3.7159,1.6519
15.9,2.4106,3.7647,1.6249
15.92,2.4152,3.7848,1.6248
16.0,2.4092,3.8177,1.6252
16.02,2.4149,3.8374,1.6251
16.1,2.4027,3.8696,1.6239
16.2,2.4048,3.9104,1.6235
16.24,2.4145,3.9491,1.6222
16.3,2.3993,3.9647,1.6183
16.4,2.4074,4.0118,1.5265
16.42,2.4229,4.0269,1.4953
16.5,2.4207,4.061,1.4013
16.52,2.4337,4.0776,1.3859
16.6,2.4353,4.1078,1.454
16.62,2.4412,4.1271,1.4535
16.7,2.4311,4.1634,1.4938
16.8,2.4301,4.1986,1.4896
16.82,2.4356,4.2217,1.489
16.9,2.4355,4.2571,1.4918
17.0,2.438,4.3059,1.4929
17.02,2.4429,4.3259,1.4928
17.1,2.443,4.3604,1.4988
17.2,2.4366,4.4111,1.5852
17.3,2.425,4.4619,1.6767
17.4,2.4235,4.5141,1.6206
17.42,2.4282,4.5341,1.6205
17.5,2.4238,4.5663,1.5979
17.52,2.4296,4.5863,1.5968
17.6,2.4263,4.6145,1.5946
17.7,2.4215,4.6643,1.5966
17.72,2.4273,4.6836,1.5957
17.8,2.4254,4.714,1.597
17.9,2.4203,4.7639,1.5941
17.94,2.431,4.8036,1.5938
18.02,2.4239,4.8382,1.5979
18.1,2.5594,4.8524,1.5736
18.2,2.5581,4.9033,1.5754
18.3,2.5611,4.9503,1.5735
18.32,2.5648,4.971,1.5732
18.4,2.5579,5.0059,1.5758
18.5,2.5572,5.0483,1.5726
18.52,2.5622,5.0683,1.5722
18.62,2.5631,5.1221,1.5737
18.74,2.5634,5.1889,1.5733
18.76,2.5462,5.1602,1.5752
18.8,2.5566,5.2,1.5743
18.9,2.5559,5.254,1.5775
19.0,2.5552,5.3072,1.5768
19.1,2.5548,5.3504,1.5735
19.12,2.5593,5.3709,1.5731
19.2,2.5539,5.4025,1.5739
19.3,2.5538,5.4495,1.5744
19.32,2.5587,5.4701,1.5743
19.42,2.559,5.5211,1.5742
19.52,2.5572,5.5703,1.5733
19.62,2.5631,5.6204,1.5047
19.72,2.591,5.6521,1.4008
19.8,2.5884,5.6885,1.4542
19.9,2.5963,5.7423,1.4895
20.0,2.6051,5.7938,1.4895
20.1,2.6108,5.8339,1.4855
